E_A0000005680 E_0001351447 A32 spoof
E_A0000003814 E_0002135801 A22 spoof
E_A0000009731 E_0000121214 A21 spoof
E_A0000007094 E_0008373518 A27 spoof
E_A0000004968 E_0001239732 A25 spoof
E_A0000002258 E_0005237418 A22 spoof
E_A0000004222 E_0003228848 A24 spoof
E_A0000004731 E_0004452044 A28 spoof
E_A0000005997 E_0003005560 A28 spoof
E_A0000002066 E_0003436311 A28 spoof
E_A0000007217 E_0009611515 A23 spoof
E_A0000002104 E_0008495597 A27 spoof
E_A0000009577 E_0001778318 A18 spoof
E_A0000000663 E_0005180229 A18 spoof
E_A0000001300 E_0004651318 A19 spoof
E_A0000001521 E_0008091741 A23 spoof
E_A0000001911 E_0007151143 A21 spoof
E_A0000007441 E_0003619255 A21 spoof
E_A0000002243 E_0002347563 A19 spoof
E_A0000007543 E_0009627123 A21 spoof
E_A0000008838 E_0007089469 A21 spoof
E_A0000005534 E_0005098484 A19 spoof
E_A0000002525 E_0008781823 A21 spoof
E_A0000003375 E_0007670272 A22 spoof
E_A0000001874 E_0000299088 A19 spoof
E_A0000001272 E_0004309520 A23 spoof
E_A0000002123 E_0003418576 A27 spoof
E_A0000007031 E_0007936234 A32 spoof
E_A0000001226 E_0008365659 A19 spoof
E_A0000006959 E_0006792928 A31 spoof
E_A0000001425 E_0008625076 A21 spoof
E_A0000003522 E_0003488806 A22 spoof
E_A0000008177 E_0000751007 A32 spoof
E_A0000009615 E_0006711764 A29 spoof
E_A0000004835 E_0006295785 A30 spoof
E_A0000008500 E_0001486308 A25 spoof
E_A0000006974 E_0001573607 A25 spoof
E_A0000007165 E_0008701895 A24 spoof
E_A0000005597 E_0000966611 A26 spoof
E_A0000001105 E_0000846005 A30 spoof
E_A0000000281 E_0004162282 A28 spoof
E_A0000002650 E_0001979169 A22 spoof
E_A0000006290 E_0006783466 A29 spoof
E_A0000005534 E_0008913160 A23 spoof
E_A0000001226 E_0002955429 A19 spoof
E_A0000004731 E_0007050898 A21 spoof
E_A0000006058 E_0009135001 A31 spoof
E_A0000007161 E_0003932183 A27 spoof
E_A0000009880 E_0006615330 A27 spoof
E_A0000004844 E_0005256098 A27 spoof
E_A0000006391 E_0000228109 A18 spoof
E_A0000004775 E_0005746351 A23 spoof
E_A0000004521 E_0002577178 A22 spoof
E_A0000009492 E_0000408571 A31 spoof
E_A0000009173 E_0009049528 A18 spoof
E_A0000008500 E_0000542205 A30 spoof
E_A0000002203 E_0007116705 A29 spoof
E_A0000006230 E_0004959675 A27 spoof
E_A0000002785 E_0007274561 A22 spoof
E_A0000005997 E_0006048639 A32 spoof
E_A0000006591 E_0004189192 A29 spoof
E_A0000002551 E_0000284556 A17 spoof
E_A0000004172 E_0008035685 A22 spoof
E_A0000001173 E_0004878573 A18 spoof
E_A0000001765 E_0003010626 A27 spoof
E_A0000003818 E_0004175623 A18 spoof
E_A0000001407 E_0005393089 A19 spoof
E_A0000008072 E_0000365761 A27 spoof
E_A0000007257 E_0006206447 A23 spoof
E_A0000008744 E_0008514020 A24 spoof
E_A0000002561 E_0006105035 A25 spoof
E_A0000001407 E_0007145398 A29 spoof
E_A0000008978 E_0002734733 A18 spoof
E_A0000001105 E_0009266414 A32 spoof
E_A0000002875 E_0004833985 A22 spoof
E_A0000003632 E_0002151616 A19 spoof
E_A0000008744 E_0005486719 A28 spoof
E_A0000002875 E_0003603258 A30 spoof
E_A0000002982 E_0009515699 A29 spoof
E_A0000002551 E_0006401850 A29 spoof
E_A0000007976 E_0009854475 A27 spoof
E_A0000006492 E_0005836082 A32 spoof
E_A0000007976 E_0000827828 A18 spoof
E_A0000004016 E_0007039842 A29 spoof
E_A0000007511 E_0007031361 A23 spoof
E_A0000007257 E_0002559484 A21 spoof
E_A0000006426 E_0001202954 A22 spoof
E_A0000002203 E_0000886331 A29 spoof
E_A0000005597 E_0005042420 A30 spoof
E_A0000006426 E_0002669431 A17 spoof
E_A0000003229 E_0003855036 A29 spoof
E_A0000003389 E_0000660573 A18 spoof
E_A0000008426 E_0005260904 A22 spoof
E_A0000006409 E_0003820383 A19 spoof
E_A0000004905 E_0007400325 A27 spoof
E_A0000002982 E_0008312731 A31 spoof
E_A0000009692 E_0005430915 A19 spoof
E_A0000001149 E_0006608530 A31 spoof
E_A0000004520 E_0007719065 A31 spoof
E_A0000005503 E_0003565029 A27 spoof
E_A0000004017 E_0001357344 A20 spoof
E_A0000005076 E_0005703747 A24 spoof
E_A0000004290 E_0008861375 A28 spoof
E_A0000006141 E_0009910854 A28 spoof
E_A0000004016 E_0003970552 A25 spoof
E_A0000008980 E_0005105104 A29 spoof
E_A0000003723 E_0000726764 A29 spoof
E_A0000006470 E_0004156480 A18 spoof
E_A0000001164 E_0007881915 A22 spoof
E_A0000005136 E_0008837231 A29 spoof
E_A0000003734 E_0002697431 A23 spoof
E_A0000004244 E_0006324866 A21 spoof
E_A0000005754 E_0009440287 A17 spoof
E_A0000005680 E_0004839429 A31 spoof
E_A0000002238 E_0005890010 A30 spoof
E_A0000005702 E_0005395043 A25 spoof
E_A0000003263 E_0000490913 A18 spoof
E_A0000006314 E_0003874037 A20 spoof
E_A0000001290 E_0006364924 A32 spoof
E_A0000003000 E_0001637546 A27 spoof
E_A0000004017 E_0001079375 A31 spoof
E_A0000007976 E_0001968437 A20 spoof
E_A0000003340 E_0009079248 A32 spoof
E_A0000004994 E_0004202819 A30 spoof
E_A0000006974 E_0009206900 A30 spoof
E_A0000005754 E_0000831155 A18 spoof
E_A0000009772 E_0005268397 A22 spoof
E_A0000003313 E_0000382011 A20 spoof
E_A0000001425 E_0007755325 A28 spoof
E_A0000003882 E_0004505410 A20 spoof
E_A0000006673 E_0002149940 A28 spoof
E_A0000009437 E_0005813637 A29 spoof
E_A0000006891 E_0007009532 A18 spoof
E_A0000006974 E_0003574725 A23 spoof
E_A0000007441 E_0002279899 A28 spoof
E_A0000001765 E_0004101729 A31 spoof
E_A0000002062 E_0009288720 A26 spoof
E_A0000000384 E_0003591069 A31 spoof
E_A0000005534 E_0005142732 A22 spoof
E_A0000003690 E_0005874037 A21 spoof
E_A0000009977 E_0001731373 A26 spoof
E_A0000002626 E_0008963731 A20 spoof
E_A0000006673 E_0008795067 A19 spoof
E_A0000008258 E_0008232645 A20 spoof
E_A0000009880 E_0009891649 A29 spoof
E_A0000006314 E_0002523762 A19 spoof
E_A0000006314 E_0000314214 A19 spoof
E_A0000008988 E_0009049814 A28 spoof
E_A0000008500 E_0007658672 A31 spoof
E_A0000007720 E_0000296084 A17 spoof
E_A0000007325 E_0006704048 A24 spoof
E_A0000004290 E_0001056701 A24 spoof
E_A0000006310 E_0006425648 A24 spoof
E_A0000001521 E_0003626414 A20 spoof
E_A0000000294 E_0007980483 A31 spoof
E_A0000006290 E_0000759639 A29 spoof
E_A0000001934 E_0001534232 A17 spoof
E_A0000005898 E_0002393544 A23 spoof
E_A0000003124 E_0006237879 A19 spoof
E_A0000001149 E_0003987008 A18 spoof
E_A0000004520 E_0007388281 A27 spoof
E_A0000003598 E_0004843747 A25 spoof
E_A0000001617 E_0008553205 A17 spoof
E_A0000003848 E_0005609645 A25 spoof
E_A0000000294 E_0003042898 A32 spoof
E_A0000003734 E_0000788376 A30 spoof
E_A0000009692 E_0003934915 A27 spoof
E_A0000005509 E_0001076195 A25 spoof
E_A0000003124 E_0003593307 A19 spoof
E_A0000004860 E_0008541690 A30 spoof
E_A0000006391 E_0000615864 A25 spoof
E_A0000006391 E_0003120134 A24 spoof
E_A0000008988 E_0001648571 A26 spoof
E_A0000003522 E_0002140985 A26 spoof
E_A0000003229 E_0004936483 A30 spoof
E_A0000005141 E_0001762381 A31 spoof
E_A0000003282 E_0005004276 A21 spoof
E_A0000002062 E_0007852457 A26 spoof
E_A0000008146 E_0004627502 A21 spoof
E_A0000002525 E_0000801314 A26 spoof
E_A0000000923 E_0008093838 A24 spoof
E_A0000009653 E_0002413273 A32 spoof
E_A0000005046 E_0009776991 A27 spoof
E_A0000002755 E_0002602260 A22 spoof
E_A0000005702 E_0009606924 A25 spoof
E_A0000003332 E_0005708243 A25 spoof
E_A0000009573 E_0006719376 A20 spoof
E_A0000007018 E_0006260135 A22 spoof
E_A0000007833 E_0001411154 A27 spoof
E_A0000007526 E_0009219049 A21 spoof
E_A0000008177 E_0003105662 A22 spoof
E_A0000007826 E_0004885423 A29 spoof
E_A0000008287 E_0002274354 A19 spoof
E_A0000003632 E_0007160163 A24 spoof
E_A0000008345 E_0009557193 A18 spoof
E_A0000008976 E_0005174848 A20 spoof
E_A0000005597 E_0001568838 A22 spoof
